team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
4,13,1,1,1,2,1,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,3,2,1
12,19,1,1,2,2,1,2,3,2,3,2,2,2,1,2,2,1,2,3,2,3,3,2,3
25,31,1,1,1,2,2,2,3,2,3,2,2,1,1,3,2,3,2,3,2,1,2,1,1
26,1,1,1,1,2,2,2,3,2,3,2,2,1,1,3,1,3,3,3,1,1,3,2,1
28,33,2,1,2,2,1,3,3,2,3,3,2,2,1,1,2,2,2,2,2,2,2,3,2
30,3,1,1,2,2,2,2,3,2,2,2,3,2,1,1,2,2,2,2,2,2,2,3,2
10,5,2,1,2,1,1,2,2,1,1,3,2,2,1,1,2,2,2,3,2,2,2,3,2
18,16,2,1,2,2,1,2,3,1,3,3,2,1,1,2,2,1,3,2,2,3,3,2,2
32,17,2,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,2,2,3,3,2,3
1,30,1,1,3,1,3,3,3,1,1,3,2,1,1,2,2,2,2,3,2,2,2,3,3
3,32,2,1,1,2,2,2,2,2,2,2,3,2,1,1,2,2,2,3,2,3,2,2,1
5,4,2,1,1,2,2,2,3,2,2,2,3,1,1,1,2,1,2,3,2,3,2,2,3
13,12,1,1,1,2,2,2,3,2,3,3,2,1,1,2,2,1,2,3,2,3,2,2,1
16,26,1,1,2,2,1,3,2,2,3,3,2,1,1,1,2,2,2,3,2,3,2,2,1
17,10,2,1,2,2,1,2,2,2,3,3,2,2,1,2,1,1,2,2,1,1,3,2,2
31,28,1,1,3,2,3,2,3,2,1,2,1,2,1,2,2,1,3,3,2,3,3,2,2
